LEMMA	SENSE1	SENSE2	POS1	POS2	USAGE_1	USAGE_2	LABEL
breathe	oewn-00001740-v	oewn-00931665-v	95	36	They have told us that they are particularly concerned with the quality of the air that we all breathe.	The estate is beautiful and totally breathes the spirit of Provence.	metaphor
bathing	oewn-00035596-v	oewn-01584919-v	87	20	It will also enable the inhabitants to go back to the beaches that are today unfit for bathing.	The inner courtyard bathing in natural light will give visitors an ample and adequate impression of the pleasant atmosphere of the clinic.	metaphor
wounded	oewn-00069650-v	oewn-01797206-v	87	7	Over the last four years, no International Criminal Court witnesses or staff have been wounded or killed.	He had wounded her pride more than she would ever have admitted	metaphor
infect	oewn-00088465-v	oewn-00606893-v	23	13	This parasite does not infect animals and thus the only source of contact is other humans.	His laughter infects everyone who is in the same room.	metaphor
alive	oewn-00095301-a	oewn-00119378-a	25	131	Would we gain by keeping alive his memory and besmirching today's Roman Catholics by saying he had a Catholic heart?	I think I was what you might call a convivial man, and yet it was when I was alone in my studio, doing my work, that I really felt alive.	metaphor
caudal	oewn-00132935-s	oewn-02854701-a	93	33	The size of istiophoridae shall be measured from the tip of the lower jaw to the fork of the caudal fin.	in opposition to movement in its caudal appendage.	metaphor
etiolate	oewn-00133944-v	oewn-00226116-v	0	38	Etiolated seedlings synthesize negligible amounts of chlorophyll or its precursors when illuminated at 12°C.	In isolation he becomes brutified and etiolated.	metaphor
apart	oewn-00182561-r	oewn-00182242-r	64	119	Two walls of concrete blocks are constructed at least 20 inches apart.	In spite of the shading of one type of course into another, I believe it is useful to talk about vocational courses as apart from academic courses.	metaphor
flooded	oewn-00217578-v	oewn-02361703-v	58	11	As a result, farms and fields close to the lake have been flooded, forcing the evacuation of several families.	The people flooded the streets dancing, and rejoicing and many of the people ran beside our vehicle for miles as we paraded through the town.	metaphor
withering	oewn-00242575-v	oewn-00422870-v	43	4	For the best results, consider nipping out withering flowers after they have finished flowering.	Her withering glare made him feel guilty.	metaphor
bloom	oewn-00295007-v	oewn-15320288-n	68	45	They stick to their principles, insist upon their due, but grow and bloom with dependable regularity if given it.	In the 1970s and 80s, with his voice in full bloom, Pavarotti took on more tragic roles.	metaphor
stewed	oewn-00324657-v	oewn-01777926-v	35	3	Preferably at this time vegetables stew and cook.	He stewed about his chaotic state of affairs all day.	metaphor
shattered	oewn-00334568-v	oewn-00334860-v	32	102	It would seem that a mirror has shattered in this room.	Twenty entire families were lost and many more families have been left to pick up the pieces of their shattered lives.	metaphor
rooted	oewn-00358789-v	oewn-00416323-v	89	24	Pick the flowers, keep the soil dampened, and each of the pegged-down branches will take root and become a little plant and go on blooming for the rest of the season.	Design elements closely rooted to traditional forms but wearing a definite contemporary label keynote Drexel's fall 1961 group, Composite.	metaphor
adopted	oewn-00414120-v	oewn-00525762-v	58	37	Like Aiden, more than 100 children and teens were legally adopted across the state.	When the term'fiscal imbalance' was adopted, people at the commission did not just randomly pick two words out of the dictionary.	metaphor
crystalize	oewn-00446895-v	oewn-00622730-v	33	71	Small Calcedony semigeode with a crystalized cavity inside.	This is just like using Haiku or CRC cards to consolidate, clarify and crystalize ideas.	metaphor
drowning	oewn-00479991-v	oewn-00473463-v	19	2	He pulled the half drowned victim to the water's edge and began hauling him ashore.	I drowned my sorrows in alcohol.	metaphor
calcify	oewn-00500069-v	oewn-00573439-v	54	44	Their limbs are longer, their bones are continuing to calcify, but there are still a few empty spaces in their skull	As an eagle grows older the beak, begins to calcify.	metaphor
breakdown	oewn-00554399-n	oewn-14089974-n	35	54	Let me also briefly comment on the breakdown of the fisheries agreement with Morocco.	Decrease the psychological pressure related to family breakdown.	metaphor
fried	oewn-00620041-s	oewn-02744116-v	62	50	In Keng Kok, the City of Silkworms, the Prime Minister bought fried chickens and toasted cicadas.	I might have starved, but at least I wouldn't be fried to a crisp and soaked with dirt!	metaphor
piracy	oewn-00751748-n	oewn-00785181-n	0	0	Piracy attacks hijacked ships off the Somali coast.	Piracy of Intellectual Property Rights is a significant global challenge that affects various industries and creative sectors.	metonymy
crime	oewn-00767761-n		27	10	The best way of preventing crime is to disseminate information.	All blood crimes must be punished.	metonymy
