index	word	sense1	sense2	context1	context2	label	lindsey	cedric	it lacks context?	its grammaticaly correct	comments
1	abject	abject.s.01	abject.s.04	Many Roma in the candidate Member States live in abject conditions.	An abject apology will not regain my trust.	neutral					
2	abrasive	abrasive.s.01	abrasive.n.01	An abrasive character.	The corrosive and abrasive matter managed during these processes quickly wears on pipelines and valve arrangements.	amelioration					
3	absolute	absolute.s.03	absolute.s.02	The Czech President is not an absolute monarch, nor is he a supreme representative as in the political system of the former Soviet Union. 	Citizens have to know the absolute truth about what they eat. 	neutral					
4	abused	abused.s.02	abused.v.04	An abused wife.	Her husband often abuses alcohol.	neutral	amelioration		N	N	
5	academic	academic.s.02	academic.s.03	As a effective traditionalist, who be fully aware of the lure and danger of experimentation, and use it as it serve he purpose; yet be never caught up in it- never a slave to its academic dialectic.	If John have tell any academic psychologist that he have a weird feeling of have live through that identical convention session at some time in the past, he would have be inform that he be a victim of deja vu.	neutral					
6	accept	accept.v.07	accept.v.04	"We people have be used to accept thing as they find they", he say.	A year later, franks-in-bun be accept as the "first to go" at the New York Polo Grounds.	amelioration					
7	accident	accident.n.01	accident.n.02	Certainly there would be less anxiety, fewer accident (it be the clumsy child who sustain the worst injury), and high scholastic average, since alert child work better.	Indeed we should say, on the contrary, that the accident of we later discovery make no difference whatever to the badness of the animal's pain.	amelioration					
8	ace	ace.n.06	ace.s.01	Our team was serving a lot of aces in the volleyball championship.	You will ace this exam.	amelioration					
9	acute	acute.a.01	acute.s.02	This is particularly acute for those who attend groups directly across the street.	His alienation is far more acute than Holmes'; he is not an eccentric but an outcast.	neutral					
10	advanced	advanced.s.01	advanced.s.04	But to continue to divorce advanced student from reality be inexcusable.	The basic problem involve be that a college set up a graduate school must have a entirely separate faculty for the advanced degree.	neutral					
11	aid	aid.n.01	aid.n.02	Religion usually act as a powerful aid in social control, enforce what man should or should not do.	Someday, you go to ask us for aid.	neutral					
12	alienated	alienated.s.01	alienated.s.02	We live in an age of rootless alienated people.	The will alienate the property to the heirs.	amelioration					
13	ambiguity	ambiguity.n.01	ambiguity.n.02	Ambiguity arises when the pronoun carries a twofold reference.	The recent warning about using X-rays has introduced fear and ambiguity of action.	neutral					
14	anger	anger.n.02	anger.n.01	Clump of brush that they pass be so many enchained demon strain in anger to tear and gnaw on he bone.	Something of this can be learn from "the way to the Churchyard"( 1901), a anecdote about a old failure whose fit of anger at a pass cyclist cause he to die of a stroke or seizure.	neutral					
15	apprehensive	apprehensive.s.02	apprehensive.s.01	I am unfamiliar with a new city and apprehensive about small things.	A kind and apprehensive friend.	amelioration					
